energy low [eV],Energy,Cells,Value,Error
1.0000000000000001e-11,1e-07,PF_coil_3,0.0,
1e-07,4.1399e-07,PF_coil_3,0.0,
4.1399e-07,5.3158e-07,PF_coil_3,0.0,
5.3158e-07,6.825599999999999e-07,PF_coil_3,0.0,
6.825599999999999e-07,8.7643e-07,PF_coil_3,0.0,
8.7643e-07,1.1252999999999998e-06,PF_coil_3,0.0,
1.1252999999999998e-06,1.445e-06,PF_coil_3,0.0,
1.445e-06,1.8553999999999998e-06,PF_coil_3,0.0,
1.8553999999999998e-06,2.3824e-06,PF_coil_3,0.0,
2.3824e-06,3.059e-06,PF_coil_3,0.0,
3.059e-06,3.9279e-06,PF_coil_3,0.0,
3.9279e-06,5.043499999999999e-06,PF_coil_3,0.0,
5.043499999999999e-06,6.4759e-06,PF_coil_3,0.0,
6.4759e-06,8.3153e-06,PF_coil_3,0.0,
8.3153e-06,1.0677e-05,PF_coil_3,0.0,
1.0677e-05,1.3710000000000001e-05,PF_coil_3,0.0,
1.3710000000000001e-05,1.7604e-05,PF_coil_3,0.0,
1.7604e-05,2.2603e-05,PF_coil_3,0.0,
2.2603e-05,2.9023e-05,PF_coil_3,0.0,
2.9023e-05,3.7266e-05,PF_coil_3,0.0,
3.7266e-05,4.7851e-05,PF_coil_3,0.0,
4.7851e-05,6.1442e-05,PF_coil_3,0.0,
6.1442e-05,7.889299999999999e-05,PF_coil_3,0.0,
7.889299999999999e-05,0.0001013,PF_coil_3,0.0,
0.0001013,0.00013006999999999998,PF_coil_3,0.0,
0.00013006999999999998,0.00016702,PF_coil_3,0.0,
0.00016702,0.00021444999999999998,PF_coil_3,0.0,
0.00021444999999999998,0.00027536,PF_coil_3,0.0,
0.00027536,0.00035358,PF_coil_3,0.0,
0.00035358,0.000454,PF_coil_3,0.0,
0.000454,0.00058295,PF_coil_3,0.0,
0.00058295,0.0007485199999999999,PF_coil_3,0.0,
0.0007485199999999999,0.00096112,PF_coil_3,0.0,
0.00096112,0.0012341,PF_coil_3,6.628149133963586e-16,0.004320273783318745
0.0012341,0.0015845999999999998,PF_coil_3,1.3376577727126686e-15,0.004315941779357188
