Energy,Value,Error
6.0,39.22,0.283
7.0,54.06,0.126
8.0,56.26,0.011
9.0,53.92,0.027
10.0,52.77,0.037
11.0,53.55,0.054
12.0,54.69,0.062
13.0,54.2,0.04
14.0,52.56,0.018
15.0,52.21,0.055
16.0,54.22,0.027
17.0,57.34,0.06
18.0,59.74,0.104
19.0,60.81,0.093
20.0,61.17,0.046
21.0,61.71,0.018
22.0,62.74,0.06
23.0,63.95,0.104
24.0,64.94,0.14
25.0,65.69,0.15
26.0,66.48,0.122
27.0,67.3,0.072
28.0,67.55,0.035
29.0,66.59,0.032
30.0,64.3,0.0559999999999999
31.0,61.05,0.087
32.0,57.19,0.108
33.0,52.72,0.127
34.0,48.17,0.159
35.0,50.3,0.138
36.0,79.78,0.094
37.0,138.8,0.182
38.0,171.4,0.146
39.0,190.3,0.107
40.0,265.7,0.051
41.0,293.1,0.075
42.0,192.0,0.073
43.0,75.59,0.1009999999999999
44.0,23.96,0.309
