Cells,Value,Error
47.0,185.044,0.0008
45.0,111.106,0.0007
43.0,55.7002,0.0008
41.0,20.3867,0.001
39.0,7.36189,0.0012
37.0,2.29646,0.0015
35.0,1.00853,0.0017
33.0,0.257591,0.0022
26.0,0.00293487,0.0045
30.0,0.0825232,0.0026
29.0,0.0461171,0.0028
28.0,0.0180542,0.0032
27.0,0.00708975,0.0038
21.0,0.000213065,0.0077
55.0,256.031,0.0004
57.0,159.784,0.0003
59.0,84.1893,0.0004
61.0,31.3331,0.0004
63.0,11.1495,0.0006
65.0,3.40742,0.0007
67.0,1.46808,0.0008
69.0,0.365809,0.0011
72.0,0.116191,0.0013
73.0,0.0825046,0.0014
74.0,0.0416051,0.0015
75.0,0.0195573,0.0017
76.0,0.00931543,0.0021
77.0,0.00461746,0.0024
78.0,0.00237302,0.0028
79.0,0.0012577,0.0032
80.0,0.000687092,0.0036
81.0,0.00036518,0.0041
86.0,3.10135e-05,0.0073
