Cells,Value,Error
47.0,0.119142,0.001
45.0,0.0656832,0.001
43.0,0.0379507,0.001
41.0,0.0150903,0.0012
39.0,0.00480605,0.0015
37.0,0.00139088,0.002
35.0,0.000433196,0.0026
33.0,0.000146008,0.0031
26.0,1.23215e-06,0.0065
30.0,2.5413e-05,0.0044
29.0,1.19248e-05,0.0049
28.0,5.61797e-06,0.0054
27.0,2.62959e-06,0.0059
21.0,2.3003e-07,0.0078
55.0,0.186175,0.0004
57.0,0.105311,0.0004
59.0,0.0608621,0.0005
61.0,0.0237706,0.0006
63.0,0.00736177,0.0007
65.0,0.00206562,0.001
67.0,0.000627544,0.0013
69.0,0.000206382,0.0016
72.0,3.66099e-05,0.0022
73.0,2.03724e-05,0.0024
74.0,1.12617e-05,0.0027
75.0,6.22324e-06,0.003
76.0,3.44212e-06,0.0033
77.0,1.90091e-06,0.0037
78.0,1.0464e-06,0.0041
79.0,5.78176e-07,0.0045
80.0,3.19571e-07,0.0051
81.0,1.7658e-07,0.0056
86.0,3.39797e-08,0.0074
